temp,pressure,alarm
10.091,198425.4,0
9.688,202389.9,0
10.225,201794.3,0
10.282,199168.3,0
9.415,201597.4,0
9.61,198844.9,0
10.039,199320.3,0
9.905,200002.6,0
9.995,199115.5,0
9.745,200596.5,0
10.264,201127.4,0
10.234,198569.6,0
10.02,200106.5,0
10.339,198996.7,0
10.141,200260.8,0
9.743,200283.2,0
10.111,199346.9,0
9.713,199818.8,0
10.264,200085.2,0
9.986,199296.8,0
9.946,198305.6,0
9.797,200754.8,0
10.368,200746.4,0
9.955,200699.1,0
9.873,198983.2,0
9.896,199742.4,0
10.161,198343.4,0
10.111,202059.0,0
10.125,198643.4,0
10.131,201222.7,0
10.644,199193.9,0
9.88,200271.7,0
9.848,199711.1,0
9.758,199581.5,0
10.186,200372.5,0
10.34,199413.1,0
9.968,198350.6,0
9.75,199797.2,0
9.755,201076.4,0
10.197,199977.5,0
10.225,199019.9,0
10.165,202724.2,0
9.802,199966.3,0
10.072,199106.6,0
10.037,202104.2,0
10.068,198222.9,0
10.264,199021.8,0
10.069,200974.6,0
10.206,199003.3,0
10.023,200681.7,0
10.089,200808.3,0
10.192,202017.5,0
9.565,201010.8,0
9.907,199488.9,0
9.862,199209.5,0
9.811,198889.0,0
9.92,198827.5,0
10.451,200337.1,0
9.743,198164.7,0
10.293,200102.2,0
9.498,198011.0,0
9.903,200196.2,0
10.052,199390.5,0
10.179,200569.9,0
10.217,197234.7,0
10.241,200881.7,0
9.899,199944.6,0
9.865,199464.6,0
10.261,200455.1,0
9.946,200376.4,0
9.621,198552.6,0
9.664,200086.1,0
9.728,200660.2,0
10.153,198334.0,0
10.046,200130.1,0
10.211,201129.1,0
9.876,200094.9,0
10.051,199452.8,0
10.192,198552.8,0
9.911,198821.2,0
10.141,199515.0,0
9.805,200695.6,0
9.895,200510.8,0
9.89,199516.7,0
9.645,199089.1,0
10.15,199303.8,0
9.863,201069.0,0
10.008,198385.7,0
10.149,199927.9,0
10.138,199365.5,0
10.204,200546.1,0
9.975,199661.4,0
9.878,198609.3,0
9.981,201444.4,0
9.498,200079.2,0
9.571,200020.3,0
9.608,198459.5,0
9.706,199527.7,0
10.125,199118.4,0
9.733,199760.7,0
9.892,197970.7,0
10.395,199975.5,0
9.898,200678.0,0
10.226,199296.3,0
9.725,200116.8,0
9.944,198805.9,0
9.72,201526.1,0
9.904,198821.6,0
10.257,199652.7,0
9.487,199037.1,0
10.136,198906.2,0
10.077,201428.1,0
9.827,201318.9,0
9.572,199351.1,0
10.027,203274.9,0
9.847,200962.7,0
10.076,200876.8,0
10.012,199869.0,0
10.486,201052.6,0
9.934,199986.2,0
9.699,198874.5,0
10.06,199839.3,0
10.072,199416.0,0
10.414,198625.9,0
10.257,200871.3,0
10.113,200034.6,0
10.445,199790.9,0
9.65,201612.4,0
9.814,200030.8,0
9.728,201100.5,0
9.89,198810.9,0
9.594,199076.7,0
10.197,199866.6,0
9.94,199962.1,0
9.565,200162.4,0
9.702,200866.9,0
10.101,203482.3,0
10.258,198249.3,0
10.606,199249.4,0
10.881,200261.0,0
10.131,201812.1,0
9.71,199631.9,0
9.367,199835.5,0
10.087,199445.0,0
9.763,200383.7,0
9.883,199823.6,0
9.824,200668.9,0
9.965,201075.5,0
10.327,199468.8,0
10.055,200803.8,0
9.96,199095.9,0
9.697,200066.5,0
9.505,199172.2,0
9.862,198182.9,0
9.992,200762.7,0
10.538,198817.7,0
10.047,199100.9,0
10.303,199480.0,0
9.858,201740.0,0
9.652,201463.9,0
9.718,198158.0,0
9.79,198600.2,0
10.647,201714.1,0
9.762,202022.6,0
10.26,200314.4,0
9.737,199972.2,0
10.288,199771.6,0
10.124,199613.6,0
9.961,198583.9,0
9.996,200658.4,0
9.812,198887.4,0
10.142,200482.0,0
9.872,199862.4,0
9.641,200922.0,0
9.625,199140.4,0
10.061,198548.7,0
10.483,198812.5,0
10.057,199801.5,0
9.973,199666.6,0
10.095,198538.7,0
10.401,199286.8,0
10.075,199897.6,0
9.886,200524.8,0
10.341,199794.2,0
10.138,200517.6,0
10.47,199857.2,0
10.064,199862.1,0
9.642,200313.3,0
9.599,198619.9,0
10.505,201697.8,0
10.527,199887.5,0
9.956,199721.0,0
9.895,200057.1,0
10.448,200946.3,0
9.678,200221.9,0
9.741,200442.2,0
10.203,199892.9,0
9.891,198722.0,0
10.008,197206.3,0
9.961,200630.5,0
10.111,200809.1,0
10.432,198600.9,0
10.037,198481.1,0
10.203,198626.3,0
9.395,199154.8,0
9.996,198840.4,0
9.757,199870.2,0
9.645,199902.4,0
9.747,199780.7,0
9.91,199201.8,0
10.285,198811.6,0
9.613,198237.4,0
10.02,199138.0,0
9.865,200340.6,0
9.912,198084.0,0
10.312,199634.0,0
10.172,198644.1,0
10.412,198400.1,0
9.965,200667.1,0
9.802,200932.9,0
9.944,200200.4,0
10.084,198511.3,0
10.064,200536.4,0
9.686,200442.9,0
10.038,201698.8,0
10.08,199166.6,0
10.767,200076.0,0
10.574,198809.3,0
9.755,197799.5,0
9.925,197866.4,0
9.572,199757.1,0
9.834,198957.2,0
10.106,200219.4,0
10.373,200344.7,0
9.793,199716.4,0
9.816,198148.8,0
9.368,198713.5,0
9.963,199934.9,0
9.693,200034.5,0
9.853,200047.7,0
9.749,200563.4,0
9.984,199454.8,0
9.485,199904.6,0
9.572,200252.1,0
10.651,200660.9,0
9.626,199678.8,0
9.683,199642.9,0
10.563,199998.1,0
10.884,199736.0,0
9.661,199415.7,0
9.902,199052.6,0
10.115,197968.4,0
10.531,200219.9,0
9.717,200148.8,0
9.939,199947.3,0
10.246,200092.6,0
10.143,199515.7,0
9.9,201551.5,0
9.973,200565.7,0
9.6,201622.6,0
9.942,199018.6,0
9.933,199622.1,0
10.083,199621.1,0
9.847,201127.9,0
10.155,197610.3,0
10.317,200292.0,0
10.06,199893.4,0
10.119,200777.9,0
10.029,199172.7,0
10.013,197994.3,0
9.797,201623.4,0
10.108,199717.7,0
9.984,200683.7,0
10.642,199419.5,0
10.486,200864.8,0
10.13,200499.6,0
9.785,200947.0,0
9.68,199395.2,0
10.371,201077.0,0
10.093,200251.4,0
10.158,197908.4,0
9.491,201085.7,0
10.292,200299.8,0
10.15,199423.5,0
9.681,199588.5,0
9.873,198712.6,0
10.093,199866.6,0
10.03,200271.3,0
9.927,199830.8,0
9.983,199946.3,0
9.939,199168.0,0
10.06,198792.4,0
10.456,199745.3,0
9.245,199969.9,0
9.944,199299.1,0
10.068,200181.8,0
10.104,200571.9,0
9.903,200681.0,0
9.488,199218.1,0
10.113,198043.1,0
10.533,200135.7,0
9.555,199414.6,0
10.274,199724.7,0
9.917,199216.9,0
9.997,201332.9,0
9.699,199281.1,0
9.915,201569.0,0
10.405,200474.5,0
10.19,200746.2,0
10.535,199562.7,0
10.369,198859.8,0
10.147,200391.8,0
10.539,200033.7,0
10.147,199185.1,0
10.264,200398.8,0
9.927,200274.6,0
10.036,197963.6,0
9.807,200304.0,0
10.313,200648.4,0
9.662,198160.3,0
